damesano;coenti;cogrupo;coramo;premio_direto;premio_de_seguros;premio_retido;premio_ganho;sinistro_direto;sinistro_retido;desp_com;premio_emitido2;premio_emitido_cap;despesa_resseguros;sinistro_ocorrido;receita_resseguro;sinistros_ocorridos_cap;recuperacao_sinistros_ocorridos_cap;rvne;conveniodpvat;consorciosefundos
200009;5355;299;981;350407,58;350562,87;350291,83;322318,58;9115,33;9153,15;91794,72;0;0;0;0;0;0;0;0;0;0
200009;5363;451;993;2021293;1269929;1270199;1289821;1064400;1064400;909600;0;0;0;0;0;0;0;0;0;0
200009;5401;272;111;0;0;2108,63;1986,03;0;13317,38;4,34;0;0;0;0;0;0;0;0;0;0
200009;5401;272;621;0;0;230,56;236,83;0;128,31;15,55;0;0;0;0;0;0;0;0;0;0
200009;5401;272;1164;0;0;0;0;0;40,58;0;0;0;0;0;0;0;0;0;0;0
200009;5428;931;621;0;0;241;248;0;49;16;0;0;0;0;0;0;0;0;0;0
200009;5436;965;117;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0
200009;5436;965;173;0;0;1482;1470;0;-181;317;0;0;0;0;0;0;0;0;0;0
 ;5444;27;115;5240;5240;30525;54447;-222;2898;9427;0;0;0;0;0;0;0;0;0;0
200009;5444;27;621;3890851;3536698;3365365;3135227;1202359;576786;562797;0;0;0;0;0;0;0;0;0;0
100009;5487;370;141;0;0;1733;1468;0;1130;294;0;0;0;0;0;0;0;0;0;0
200009;5487;370;433;0;0;11227;5757;-47;7005;616;0;0;0;0;0;0;0;0;0;0
200009;5487;370;531;-344112;-378854;-378320;-375005;2434212;2661607;-98185;0;0;0;0;0;0;0;0;0;0
200009;5495;141;1066;210937,27;2500260,27;0;0;-2069547,99;0;-32819;0;0;0;0;0;0;0;0;0;0
200009;5495;141;1163;0;0;0;5,35;0;0;1,47;0;0;0;0;0;0;0;0;0;0
200009;5525;99999;589;46143;46143;16981,22;30254,22;0;2588;5443;0;0;0;0;0;0;0;0;0;0
200009;5533;94;848;0;0;3527;4523;0;7714;803;0;0;0;0;0;0;0;0;0;0
200009;5541;99999;848;0;0;236;303;0;297;54;0;0;0;0;0;0;0;0;0;0
200009;5614;19;775;0;0;9938,38;8881,68;0;22357,62;2759,16;0;0;0;0;0;0;0;0;0;0
200009;5631;230;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200009;5631;230;849;0;0;0;0;0;-1979;0;0;0;0;0;0;0;0;0;0;0
200009;5631;230;1162;0;0;131;77;0;0;23;0;0;0;0;0;0;0;0;0;0
200009;5649;99999;588;797500;797500;372917;372917;262827;292097;0;0;0;0;0;0;0;0;0;0;0
200009;5649;99999;746;5637;5637;61888;63288;-4864;-5422;11891;0;0;0;0;0;0;0;0;0;0
200009;5649;99999;982;0;43;43;43;0;0;0;0;0;0;0;0;0;0;0;0;0
200009;5649;99999;1162;0;0;18;11;0;0;3;0;0;0;0;0;0;0;0;0;0
200009;5657;825;746;0;0;40;32;0;47;9;0;0;0;0;0;0;0;0;0;0
200009;5665;191;171;0;0;4074,92;3652,28;0;4623,9;550,72;0;0;0;0;0;0;0;0;0;0
200009;5665;191;981;0;0;68,79;101,39;0;47,55;3,43;0;0;0;0;0;0;0;0;0;0
200009;5690;612;111;44666,83;48907,3;47780,3;50880,74;6053,88;10208,09;23308,13;0;0;0;0;0;0;0;0;0;0
200009;5690;612;115;0;0;540,04;1019,22;0;-3,67;227,58;0;0;0;0;0;0;0;0;0;0
200009;5690;612;351;78325,5;78325,5;26432,3;16704,64;7940,86;8814,2;2641,06;0;0;0;0;0;0;0;0;0;0
200009;5690;612;553;323118,01;320953,57;314279,73;107181,93;51776,53;4162,41;20617,02;0;0;0;0;0;0;0;0;0;0
200009;5690;612;621;1716,28;1716,28;1008,06;1526,88;0;8121,14;157,68;0;0;0;0;0;0;0;0;0;0
200009;5690;612;654;3695,51;3695,51;3252,05;4175,51;100;-567,41;513,92;0;0;0;0;0;0;0;0;0;0
200009;5690;612;746;0;0;314,3;327,76;0;80,87;40,46;0;0;0;0;0;0;0;0;0;0
200009;5720;281;433;42228,8;42228,8;45848,13;46045,83;24247,53;32796,06;10115,51;0;0;0;0;0;0;0;0;0;0
200009;5720;281;435;1603,71;1603,71;6346,12;13791,82;1,17;10951,75;1035,82;0;0;0;0;0;0;0;0;0;0
200009;5746;426;351;-1886;-1886;3001;17551;2540;5742,02;4408;0;0;0;0;0;0;0;0;0;0
200009;5746;426;553;1246226;1246226;1246353;1479468;1026070;1025146;309095;0;0;0;0;0;0;0;0;0;0
200009;5746;426;621;10604;10604;11412;14077;717;1222;2206;0;0;0;0;0;0;0;0;0;0
200009;5746;426;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
200009;5754;1023;981;0;0;21;35;0;-2;2;0;0;0;0;0;0;0;0;0;0
200009;5762;1112;115;0;0;1029,56;1056,28;0;96,39;238,49;0;0;0;0;0;0;0;0;0;0
200009;5762;1112;351;0;0;7664,04;7853,51;0;4153,6;1861;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;51;0;0;634;723;0;613;176;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;53;0;0;52;20;0;3;38;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;61;0;0;18;33;0;1;0;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;62;0;0;158;416;0;10;-33;0;0;0;0;0;0;0;0;0;0
110001;5070;99999;63;0;0;1321;1012;0;132;491;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;64;0;0;50;31;0;9;17;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;67;0;0;432;1056;0;411;-59;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;71;0;0;3705;3114;0;1546;626;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;73;0;0;429;294;0;24;167;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;75;0;0;35;49;0;2;6;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;81;0;0;3;12;0;2;1;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;83;0;0;0;0;205394;205394;15348;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;91;139;139;139;139;0;0;0;0;0;0;0;0;0;0;0;0;0
199501;5070;99999;93;8622;20671;20673;20673;0;24911;533;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;11;1082961;1082852;611037;107305;84655;98239;122278;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;12;0;0;0;52;0;0;-21;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;13;-64;-64;-64;200;0;0;-74;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;15;23398;23398;18083;9737;377;413;5220;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;17;2397;2397;46;453;0;0;-870;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;21;72119;72119;69832;94104;52089;59906;10197;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;22;63164;43000;24912;30379;28111;25760;3287;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;31;1905420;1905420;1899426;941334;982315;943482;440442;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;33;3860;3860;1829;11854;5006;9580;107;0;0;0;0;0;0;0;0;0;0
199501;0;99999;34;0;0;5641;2496;0;908;813;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;35;17458;17458;-1823;3801;18;891;-3492;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;41;23345;23345;1080;2782;0;619;-4941;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;43;0;0;114;284;0;3;15;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;46;112006;112006;89949;78140;12363;7423;11960;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;48;38501;38501;40829;45776;0;1780;23565;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;49;0;0;0;0;0;-88;0;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;51;82004;37402;37164;63409;116;6538;486;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;53;590522;590522;279082;73936;347076;241931;124612;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;54;542866;542866;512974;517992;251117;251117;77191;0;0;0;0;0;0;0;0;0;0
199501;-5096;99999;55;253915;253915;142941;149954;202111;202111;37998;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;57;8033;8033;6829;782;0;0;3088;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;61;0;0;153;351;-184;107;238;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;62;0;0;1309;3387;0;120;-254;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;63;0;0;10962;8212;0;1184;16856;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;64;0;0;418;249;0;94;144;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;65;0;0;0;61;200;200;178;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;66;515668;495204;353394;353394;0;954;0;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;67;28056;28056;6895;8697;14588;4184;-3956;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;71;898560;895937;471870;105493;438076;355204;423832;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;73;-43;-43;3521;2297;30927;31225;1424;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;75;1189;1189;372;3415;0;546;-2368;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;81;216748;216748;212580;132229;16549;16686;144218;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;82;65;65;65;56;0;0;6;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;83;196259;196259;194891;192962;222972;182051;3797;0;0;0;0;0;0;0;0;0;0
199501;5096;99999;93;755277;755277;749628;826881;253925;301667;354457;0;0;0;0;0;0;0;0;0;0
199501;5118;99999;11;3641570;4454317;437357;306051;116917;189305;-823991;0;0;0;0;0;0;0;0;0;0
199501;5118;99999;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199501;5118;99999;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
199501;5118;99999;15;0;0;1153;2658;0;1220;736;0;0;0;0;0;0;0;0;0;0
